model,condition,condition_label,n,correct,accuracy
GPT-4.1,baseline,Baseline,90,28,31.11111111111111
GPT-4.1,ctx_l1,L1,90,45,50.0
GPT-4.1,ctx_l2,L2,90,39,43.333333333333336
GPT-4.1,ctx_l2_ref_only,L2-Ref,90,40,44.44444444444444
GPT-4.1,ctx_l3,L3,90,44,48.888888888888886
Qwen3-VL-235B-A22B,baseline,Baseline,90,24,26.666666666666668
Qwen3-VL-235B-A22B,ctx_l1,L1,90,39,43.333333333333336
Qwen3-VL-235B-A22B,ctx_l2,L2,90,44,48.888888888888886
Qwen3-VL-235B-A22B,ctx_l2_ref_only,L2-Ref,90,43,47.77777777777778
Qwen3-VL-235B-A22B,ctx_l3,L3,90,42,46.666666666666664
Qwen3-VL-32B,baseline,Baseline,90,29,32.22222222222222
Qwen3-VL-32B,ctx_l1,L1,90,37,41.111111111111114
Qwen3-VL-32B,ctx_l2,L2,90,34,37.77777777777778
Qwen3-VL-32B,ctx_l2_ref_only,L2-Ref,90,33,36.666666666666664
Qwen3-VL-32B,ctx_l3,L3,90,40,44.44444444444444
Qwen3-VL-8B,baseline,Baseline,90,27,30.0
Qwen3-VL-8B,ctx_l1,L1,90,31,34.44444444444444
Qwen3-VL-8B,ctx_l2,L2,90,26,28.88888888888889
Qwen3-VL-8B,ctx_l2_ref_only,L2-Ref,90,24,26.666666666666668
Qwen3-VL-8B,ctx_l3,L3,90,26,28.88888888888889
