scene_id,range,gt_distance_m,pred_distance_m,label_a,label_b,id_correct,model,status
scene0000_00,short,1.4515,1.5609,refrigerator,door,True,llava:13b,ok
scene0000_00,short,1.4034,1.3592,refrigerator,cabinet,True,llava:13b,ok
scene0000_00,short,1.4865,1.6508,desk,table,True,llava:13b,ok
scene0000_00,short,1.0408,,pillow,bed,False,llava:13b,grounding_parse_error
scene0000_00,short,0.9617,0.8408,desk,cabinet,True,llava:13b,ok
scene0000_00,medium,2.0307,,window,cabinet,False,llava:13b,grounding_parse_error
scene0000_00,medium,1.5008,1.4972,pillow,cabinet,True,llava:13b,ok
scene0000_00,medium,2.2084,,nightstand,nightstand,True,llava:13b,rgbd_failed
scene0000_00,long,7.8294,,window,curtain,False,llava:13b,grounding_parse_error
scene0000_00,long,3.0766,,curtain,nightstand,False,llava:13b,grounding_parse_error
scene0001_00,medium,1.9221,,table,door,False,llava:13b,grounding_parse_error
scene0001_00,medium,2.5293,,table,window,False,llava:13b,grounding_parse_error
scene0001_00,medium,2.3739,,table,table,True,llava:13b,rgbd_failed
scene0001_00,long,5.6082,,table,table,True,llava:13b,rgbd_failed
scene0001_00,long,4.5703,,table,door,True,llava:13b,rgbd_failed
scene0010_00,short,1.2566,1.2977,chair,chair,True,llava:13b,ok
scene0010_00,short,0.8434,,monitor,window,False,llava:13b,grounding_parse_error
scene0010_00,short,1.1716,,monitor,table,False,llava:13b,grounding_parse_error
scene0010_00,short,1.3113,1.3027,chair,table,True,llava:13b,ok
scene0010_00,short,1.193,,chair,monitor,True,llava:13b,rgbd_failed
scene0010_00,medium,2.2085,,chair,monitor,True,llava:13b,rgbd_failed
scene0010_00,medium,1.7878,1.8471,monitor,monitor,True,llava:13b,ok
scene0010_00,medium,2.6784,,chair,monitor,True,llava:13b,rgbd_failed
scene0010_00,long,3.2621,,desk,door,False,llava:13b,grounding_parse_error
scene0010_00,long,3.8824,,chair,monitor,True,llava:13b,rgbd_failed
scene0011_00,short,1.4112,1.42,chair,chair,True,llava:13b,ok
scene0011_00,short,1.2594,1.2722,chair,chair,True,llava:13b,ok
scene0011_00,short,1.4864,1.5579,chair,chair,True,llava:13b,ok
scene0011_00,short,0.8712,0.7253,chair,chair,True,llava:13b,ok
scene0011_00,short,1.4801,,sink,cabinet,False,llava:13b,grounding_parse_error
scene0011_00,medium,1.9334,1.9983,chair,chair,True,llava:13b,ok
scene0011_00,medium,2.3402,,chair,cabinet,False,llava:13b,grounding_parse_error
scene0011_00,medium,2.8983,2.8279,chair,refrigerator,True,llava:13b,ok
