query_id,scene_id,object_a,label_a,object_b,label_b,descriptor_a_l3,descriptor_b_l3,n_candidates_a,n_candidates_b,n_same_category_with_desc_a,n_same_category_with_desc_b,unique_l3_a,unique_l3_b,unique_l3_both,total_candidate_pairs,compatible_pairs_by_l3,pair_reduction_ratio,matching_ids_a,matching_ids_b
test_stage1_dn_0000,scene0008_00,scene0008_00__monitor_029,monitor,scene0008_00__table_032,table,"center of the scene; 1 of 2 monitors (top to bottom); near sofa, chair","upper-right area of the scene; 4 of 5 tables (left to right); near sofa, chair",2,5,1,1,True,True,True,10,1,0.1,scene0008_00__monitor_029,scene0008_00__table_032
test_stage1_dn_0001,scene0012_01,scene0012_01__chair_002,chair,scene0012_01__table_008,table,center of the scene; 3 of 4 chairs (top to bottom); near door,upper-left area of the scene; near door,4,1,1,1,True,True,True,4,1,0.25,scene0012_01__chair_002,scene0012_01__table_008
test_stage1_dn_0002,scene0012_01,scene0012_01__door_032,door,scene0012_01__table_008,table,upper-left area of the scene; 5 of 14 doors (left to right); near chair,upper-left area of the scene; near chair,14,1,1,1,True,True,True,14,1,0.07142857142857142,scene0012_01__door_032,scene0012_01__table_008
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,chair,scene0050_02__desk_003,desk,"upper part of the scene; 2 of 2 chairs (left to right); near door, table","upper-left area of the scene; near door, table",2,1,1,1,True,True,True,2,1,0.5,scene0050_02__chair_000,scene0050_02__desk_003
test_stage1_dn_0004,scene0050_02,scene0050_02__sofa_005,sofa,scene0050_02__table_011,table,"lower-left area of the scene; near chair, door","lower part of the scene; near chair, desk",1,1,1,1,True,True,True,1,1,1.0,scene0050_02__sofa_005,scene0050_02__table_011
test_stage1_dn_0005,scene0066_00,scene0066_00__cabinet_003,cabinet,scene0066_00__chair_019,chair,"lower-left area of the scene; near table, door","lower-left area of the scene; 24 of 26 chairs (top to bottom); near table, door",1,26,1,1,True,True,True,26,1,0.038461538461538464,scene0066_00__cabinet_003,scene0066_00__chair_019
test_stage1_dn_0006,scene0066_00,scene0066_00__chair_007,chair,scene0066_00__table_022,table,"center of the scene; 17 of 26 chairs (top to bottom); near door, cabinet","left side of the scene; near cabinet, door",26,1,1,1,True,True,True,26,1,0.038461538461538464,scene0066_00__chair_007,scene0066_00__table_022
test_stage1_dn_0007,scene0066_00,scene0066_00__chair_013,chair,scene0066_00__door_032,door,"upper-right area of the scene; 11 of 26 chairs (top to bottom); near table, cabinet","upper-right area of the scene; near table, cabinet",26,1,1,1,True,True,True,26,1,0.038461538461538464,scene0066_00__chair_013,scene0066_00__door_032
test_stage1_dn_0008,scene0081_01,scene0081_01__chair_030,chair,scene0081_01__monitor_026,monitor,left side of the scene; 17 of 26 chairs (top to bottom); near table,left side of the scene; near table,26,1,1,1,True,True,True,26,1,0.038461538461538464,scene0081_01__chair_030,scene0081_01__monitor_026
test_stage1_dn_0009,scene0087_00,scene0087_00__chair_004,chair,scene0087_00__door_015,door,"right side of the scene; 5 of 5 chairs (left to right); near table, sofa","lower-right area of the scene; near table, sofa",5,1,1,1,True,True,True,5,1,0.2,scene0087_00__chair_004,scene0087_00__door_015
test_stage1_dn_0010,scene0087_00,scene0087_00__sofa_003,sofa,scene0087_00__table_012,table,"upper part of the scene; near chair, door","center of the scene; 2 of 2 tables (left to right); near chair, door",1,2,1,1,True,True,True,2,1,0.5,scene0087_00__sofa_003,scene0087_00__table_012
test_stage1_dn_0011,scene0092_03,scene0092_03__bed_062,bed,scene0092_03__monitor_018,monitor,"lower-left area of the scene; near chair, desk","lower part of the scene; 2 of 3 monitors (left to right); near chair, door",1,3,1,1,True,True,True,3,1,0.3333333333333333,scene0092_03__bed_062,scene0092_03__monitor_018
test_stage1_dn_0012,scene0092_03,scene0092_03__chair_057,chair,scene0092_03__desk_059,desk,"left side of the scene; near monitor, bed","left side of the scene; near monitor, bed",1,1,1,1,True,True,True,1,1,1.0,scene0092_03__chair_057,scene0092_03__desk_059
test_stage1_dn_0013,scene0095_00,scene0095_00__cabinet_016,cabinet,scene0095_00__table_017,table,"upper-right area of the scene; near chair, monitor","upper part of the scene; near monitor, chair",1,1,1,1,True,True,True,1,1,1.0,scene0095_00__cabinet_016,scene0095_00__table_017
test_stage1_dn_0014,scene0095_00,scene0095_00__chair_035,chair,scene0095_00__monitor_018,monitor,"right side of the scene; 14 of 16 chairs (left to right); near cabinet, table","upper-right area of the scene; 10 of 10 monitors (left to right); near table, cabinet",16,10,1,1,True,True,True,160,1,0.00625,scene0095_00__chair_035,scene0095_00__monitor_018
