model,condition,condition_label,valid_n,correct,accuracy,num_files
Claude Sonnet 4.5,baseline,Baseline,90,17,18.88888888888889,2
Claude Sonnet 4.5,ctx_l1,L1,90,24,26.666666666666668,2
Claude Sonnet 4.5,ctx_l2,L2,90,21,23.333333333333332,2
Claude Sonnet 4.5,ctx_l2_ref_only,L2-Ref,90,25,27.77777777777778,2
Claude Sonnet 4.5,ctx_l3,L3,90,21,23.333333333333332,2
GPT-4.1,baseline,Baseline,90,28,31.11111111111111,2
GPT-4.1,ctx_l1,L1,90,45,50.0,2
GPT-4.1,ctx_l2,L2,129,51,39.53488372093023,3
GPT-4.1,ctx_l2_ref_only,L2-Ref,129,48,37.2093023255814,3
GPT-4.1,ctx_l3,L3,90,44,48.888888888888886,2
Gemini 2.5 Flash,baseline,Baseline,90,33,36.666666666666664,2
Gemini 2.5 Flash,ctx_l1,L1,90,47,52.22222222222222,2
Gemini 2.5 Flash,ctx_l2,L2,90,48,53.333333333333336,2
Gemini 2.5 Flash,ctx_l2_ref_only,L2-Ref,90,48,53.333333333333336,2
Gemini 2.5 Flash,ctx_l3,L3,90,44,48.888888888888886,2
Qwen3-VL-235B-A22B,baseline,Baseline,90,24,26.666666666666668,2
Qwen3-VL-235B-A22B,ctx_l1,L1,90,39,43.333333333333336,2
Qwen3-VL-235B-A22B,ctx_l2,L2,90,44,48.888888888888886,2
Qwen3-VL-235B-A22B,ctx_l2_ref_only,L2-Ref,90,43,47.77777777777778,2
Qwen3-VL-235B-A22B,ctx_l3,L3,90,42,46.666666666666664,2
Qwen3-VL-32B,baseline,Baseline,90,29,32.22222222222222,2
Qwen3-VL-32B,ctx_l1,L1,90,37,41.111111111111114,2
Qwen3-VL-32B,ctx_l2,L2,90,34,37.77777777777778,2
Qwen3-VL-32B,ctx_l2_ref_only,L2-Ref,90,33,36.666666666666664,2
Qwen3-VL-32B,ctx_l3,L3,90,40,44.44444444444444,2
Qwen3-VL-8B,baseline,Baseline,90,27,30.0,2
Qwen3-VL-8B,ctx_l1,L1,90,31,34.44444444444444,2
Qwen3-VL-8B,ctx_l2,L2,90,26,28.88888888888889,2
Qwen3-VL-8B,ctx_l2_ref_only,L2-Ref,90,24,26.666666666666668,2
Qwen3-VL-8B,ctx_l3,L3,90,26,28.88888888888889,2
