query_id,gt,pred_baseline,pred_enriched,correct_baseline,correct_enriched
nearest_0000,scene0008_00__sofa_001,scene0008_00__sofa_000,scene0008_00__sofa_001,False,True
nearest_0001,scene0008_00__sofa_000,scene0008_00__sofa_001,scene0008_00__sofa_000,False,True
nearest_0002,scene0008_00__sofa_000,scene0008_00__sofa_000,,True,False
nearest_0003,scene0012_01__chair_001,scene0012_01__chair_002,scene0012_01__chair_001,False,True
nearest_0004,scene0012_01__chair_001,scene0012_01__chair_003,scene0012_01__chair_001,False,True
nearest_0005,scene0012_01__chair_001,scene0012_01__chair_001,scene0012_01__chair_001,True,True
nearest_0006,scene0050_02__chair_000,scene0050_02__chair_001,,False,False
nearest_0007,scene0050_02__chair_000,scene0050_02__chair_001,scene0050_02__chair_000,False,True
nearest_0008,scene0050_02__chair_000,scene0050_02__chair_001,scene0050_02__chair_000,False,True
nearest_0009,scene0066_00__chair_019,scene0066_00__chair_025,scene0066_00__chair_019,False,True
nearest_0010,scene0066_00__chair_013,scene0066_00__chair_004,scene0066_00__chair_013,False,True
nearest_0011,scene0081_01__chair_030,scene0081_01__chair_000,scene0081_01__chair_030,False,True
nearest_0012,scene0081_01__chair_036,scene0081_01__chair_011,scene0081_01__chair_036,False,True
nearest_0013,scene0087_00__chair_004,scene0087_00__chair_010,,False,False
nearest_0014,scene0095_00__chair_014,scene0095_00__chair_031,scene0095_00__chair_014,False,True
nearest_0015,scene0106_00__chair_010,scene0106_00__chair_012,scene0106_00__chair_010,False,True
nearest_0016,scene0132_00__chair_001,scene0132_00__chair_008,scene0132_00__chair_001,False,True
nearest_0017,scene0137_01__chair_006,scene0137_01__chair_007,,False,False
nearest_0018,scene0137_01__chair_006,scene0137_01__chair_007,,False,False
nearest_0019,scene0138_00__chair_024,scene0138_00__chair_027,scene0138_00__chair_024,False,True
nearest_0020,scene0138_00__chair_024,scene0138_00__chair_023,scene0138_00__chair_024,False,True
nearest_0021,scene0138_00__chair_024,scene0138_00__chair_027,,False,False
nearest_0022,scene0140_00__chair_023,scene0140_00__chair_021,scene0140_00__chair_023,False,True
nearest_0023,scene0140_00__chair_025,scene0140_00__chair_004,scene0140_00__chair_025,False,True
nearest_0024,scene0140_00__chair_017,scene0140_00__chair_004,scene0140_00__chair_017,False,True
nearest_0025,scene0141_00__chair_008,scene0141_00__chair_006,,False,False
nearest_0026,scene0141_00__chair_008,scene0141_00__chair_008,,True,False
nearest_0027,scene0141_00__chair_007,scene0141_00__chair_008,scene0141_00__chair_007,False,True
nearest_0028,scene0142_00__chair_042,scene0142_00__chair_021,scene0142_00__chair_042,False,True
nearest_0029,scene0142_00__chair_042,scene0142_00__chair_021,scene0142_00__chair_042,False,True
nearest_0030,scene0143_01__chair_012,scene0143_01__chair_012,,True,False
nearest_0031,scene0143_01__chair_012,scene0143_01__chair_000,scene0143_01__chair_012,False,True
nearest_0032,scene0143_01__chair_012,scene0143_01__chair_012,,True,False
nearest_0033,scene0144_00__chair_021,scene0144_00__chair_004,scene0144_00__chair_021,False,True
nearest_0034,scene0144_00__chair_021,scene0144_00__chair_004,scene0144_00__chair_021,False,True
nearest_0035,scene0144_00__chair_021,scene0144_00__chair_003,scene0144_00__chair_021,False,True
nearest_0036,scene0181_00__chair_003,scene0181_00__chair_001,,False,False
nearest_0037,scene0181_00__chair_002,scene0181_00__chair_001,,False,False
nearest_0038,scene0181_00__chair_002,scene0181_00__chair_003,scene0181_00__chair_002,False,True
