scene_id,range,gt_distance_m,pred_distance_m,label_a,label_b,id_correct,model,status
scene0000_00,short,1.4515,1.5609,refrigerator,door,True,gpt-4.1,ok
scene0000_00,short,1.4034,1.3592,refrigerator,cabinet,True,gpt-4.1,ok
scene0000_00,short,1.4865,1.6508,desk,table,True,gpt-4.1,ok
scene0000_00,short,1.0408,1.0667,pillow,bed,True,gpt-4.1,ok
scene0000_00,short,0.9617,0.8408,desk,cabinet,True,gpt-4.1,ok
scene0000_00,medium,2.0307,,window,cabinet,False,gpt-4.1,grounding_parse_error
scene0000_00,medium,1.5008,1.4972,pillow,cabinet,True,gpt-4.1,ok
scene0000_00,medium,2.2084,,nightstand,nightstand,True,gpt-4.1,rgbd_failed
scene0000_00,long,7.8294,,window,curtain,False,gpt-4.1,grounding_parse_error
scene0000_00,long,3.0766,,curtain,nightstand,True,gpt-4.1,rgbd_failed
scene0001_00,medium,1.9221,2.0704,table,door,True,gpt-4.1,ok
scene0001_00,medium,2.5293,,table,window,True,gpt-4.1,rgbd_failed
scene0001_00,medium,2.3739,,table,table,True,gpt-4.1,rgbd_failed
scene0001_00,long,5.6082,,table,table,True,gpt-4.1,rgbd_failed
scene0001_00,long,4.5703,,table,door,True,gpt-4.1,rgbd_failed
scene0010_00,short,1.2566,1.2977,chair,chair,True,gpt-4.1,ok
scene0010_00,short,0.8434,0.8207,monitor,window,True,gpt-4.1,ok
scene0010_00,short,1.1716,1.0877,monitor,table,True,gpt-4.1,ok
scene0010_00,short,1.3113,1.3027,chair,table,True,gpt-4.1,ok
scene0010_00,short,1.193,,chair,monitor,True,gpt-4.1,rgbd_failed
scene0010_00,medium,2.2085,,chair,monitor,True,gpt-4.1,rgbd_failed
scene0010_00,medium,1.7878,1.8471,monitor,monitor,True,gpt-4.1,ok
scene0010_00,medium,2.6784,,chair,monitor,True,gpt-4.1,rgbd_failed
scene0010_00,long,3.2621,,desk,door,True,gpt-4.1,rgbd_failed
scene0010_00,long,3.8824,,chair,monitor,True,gpt-4.1,rgbd_failed
scene0011_00,short,1.4112,1.42,chair,chair,True,gpt-4.1,ok
scene0011_00,short,1.2594,1.2722,chair,chair,True,gpt-4.1,ok
scene0011_00,short,1.4864,1.5579,chair,chair,True,gpt-4.1,ok
scene0011_00,short,0.8712,0.7253,chair,chair,True,gpt-4.1,ok
scene0011_00,short,1.4801,1.4176,sink,cabinet,True,gpt-4.1,ok
scene0011_00,medium,1.9334,1.9983,chair,chair,True,gpt-4.1,ok
scene0011_00,medium,2.3402,,chair,cabinet,True,gpt-4.1,rgbd_failed
scene0011_00,medium,2.8983,2.8279,chair,refrigerator,True,gpt-4.1,ok
