scene_id,query,gt_id_a,gt_id_b,pred_id_a,pred_id_b,id_correct,range,label_a,label_b,status,model
scene0000_00,What is the distance between the refrigerator (object 33) and the door (object 54)?,33,54,33.0,54.0,True,short,refrigerator,door,ok,gpt-4.1
scene0000_00,What is the distance between the refrigerator (object 33) and the cabinet (object 42)?,33,42,33.0,42.0,True,short,refrigerator,cabinet,ok,gpt-4.1
scene0000_00,What is the distance between the desk (object 7) and the table (object 35)?,7,35,7.0,35.0,True,short,desk,table,ok,gpt-4.1
scene0000_00,What is the distance between the pillow (object 16) and the bed (object 37)?,16,37,16.0,37.0,True,short,pillow,bed,ok,gpt-4.1
scene0000_00,What is the distance between the desk (object 7) and the cabinet (object 39)?,7,39,7.0,39.0,True,short,desk,cabinet,ok,gpt-4.1
scene0000_00,What is the distance between the window (object 0) and the cabinet (object 42)?,0,42,,,False,medium,window,cabinet,parse_error,gpt-4.1
scene0000_00,What is the distance between the pillow (object 16) and the cabinet (object 41)?,16,41,16.0,41.0,True,medium,pillow,cabinet,ok,gpt-4.1
scene0000_00,What is the distance between the nightstand (object 49) and the nightstand (object 50)?,49,50,49.0,50.0,True,medium,nightstand,nightstand,ok,gpt-4.1
scene0000_00,What is the distance between the window (object 0) and the curtain (object 6)?,0,6,,,False,long,window,curtain,parse_error,gpt-4.1
scene0000_00,What is the distance between the curtain (object 6) and the nightstand (object 50)?,6,50,6.0,50.0,True,long,curtain,nightstand,ok,gpt-4.1
scene0001_00,What is the distance between the table (object 4) and the door (object 19)?,4,19,4.0,19.0,True,medium,table,door,ok,gpt-4.1
scene0001_00,What is the distance between the table (object 5) and the window (object 17)?,5,17,5.0,17.0,True,medium,table,window,ok,gpt-4.1
scene0001_00,What is the distance between the table (object 3) and the table (object 5)?,3,5,3.0,5.0,True,medium,table,table,ok,gpt-4.1
scene0001_00,What is the distance between the table (object 3) and the table (object 4)?,3,4,3.0,4.0,True,long,table,table,ok,gpt-4.1
scene0001_00,What is the distance between the table (object 3) and the door (object 19)?,3,19,3.0,19.0,True,long,table,door,ok,gpt-4.1
scene0010_00,What is the distance between the chair (object 37) and the chair (object 38)?,37,38,37.0,38.0,True,short,chair,chair,ok,gpt-4.1
scene0010_00,What is the distance between the monitor (object 49) and the window (object 63)?,49,63,49.0,63.0,True,short,monitor,window,ok,gpt-4.1
scene0010_00,What is the distance between the monitor (object 51) and the table (object 53)?,51,53,51.0,53.0,True,short,monitor,table,ok,gpt-4.1
scene0010_00,What is the distance between the chair (object 35) and the table (object 53)?,35,53,35.0,53.0,True,short,chair,table,ok,gpt-4.1
scene0010_00,What is the distance between the chair (object 35) and the monitor (object 46)?,35,46,35.0,46.0,True,short,chair,monitor,ok,gpt-4.1
scene0010_00,What is the distance between the chair (object 36) and the monitor (object 45)?,36,45,36.0,45.0,True,medium,chair,monitor,ok,gpt-4.1
scene0010_00,What is the distance between the monitor (object 45) and the monitor (object 49)?,45,49,45.0,49.0,True,medium,monitor,monitor,ok,gpt-4.1
scene0010_00,What is the distance between the chair (object 38) and the monitor (object 51)?,38,51,38.0,51.0,True,medium,chair,monitor,ok,gpt-4.1
scene0010_00,What is the distance between the desk (object 41) and the door (object 60)?,41,60,41.0,60.0,True,long,desk,door,ok,gpt-4.1
scene0010_00,What is the distance between the chair (object 35) and the monitor (object 49)?,35,49,35.0,49.0,True,long,chair,monitor,ok,gpt-4.1
scene0011_00,What is the distance between the chair (object 5) and the chair (object 12)?,5,12,5.0,12.0,True,short,chair,chair,ok,gpt-4.1
scene0011_00,What is the distance between the chair (object 5) and the chair (object 13)?,5,13,5.0,13.0,True,short,chair,chair,ok,gpt-4.1
scene0011_00,What is the distance between the chair (object 11) and the chair (object 13)?,11,13,11.0,13.0,True,short,chair,chair,ok,gpt-4.1
scene0011_00,What is the distance between the chair (object 9) and the chair (object 10)?,9,10,9.0,10.0,True,short,chair,chair,ok,gpt-4.1
scene0011_00,What is the distance between the sink (object 26) and the cabinet (object 28)?,26,28,26.0,28.0,True,short,sink,cabinet,ok,gpt-4.1
scene0011_00,What is the distance between the chair (object 5) and the chair (object 11)?,5,11,5.0,11.0,True,medium,chair,chair,ok,gpt-4.1
scene0011_00,What is the distance between the chair (object 9) and the cabinet (object 28)?,9,28,9.0,28.0,True,medium,chair,cabinet,ok,gpt-4.1
scene0011_00,What is the distance between the chair (object 10) and the refrigerator (object 27)?,10,27,10.0,27.0,True,medium,chair,refrigerator,ok,gpt-4.1
scene0011_00,What is the distance between the chair (object 13) and the window (object 23)?,13,23,13.0,23.0,True,long,chair,window,ok,gpt-4.1
scene0011_00,What is the distance between the refrigerator (object 19) and the sink (object 26)?,19,26,19.0,26.0,True,long,refrigerator,sink,ok,gpt-4.1
scene0015_00,What is the distance between the chair (object 0) and the chair (object 13)?,0,13,,,False,short,chair,chair,parse_error,gpt-4.1
scene0015_00,What is the distance between the table (object 33) and the table (object 34)?,33,34,33.0,34.0,True,short,table,table,ok,gpt-4.1
scene0015_00,What is the distance between the chair (object 22) and the chair (object 23)?,22,23,22.0,23.0,True,short,chair,chair,ok,gpt-4.1
scene0015_00,What is the distance between the chair (object 1) and the chair (object 30)?,1,30,1.0,30.0,True,short,chair,chair,ok,gpt-4.1
scene0015_00,What is the distance between the chair (object 25) and the chair (object 28)?,25,28,25.0,28.0,True,short,chair,chair,ok,gpt-4.1
scene0015_00,What is the distance between the chair (object 0) and the chair (object 29)?,0,29,,,False,medium,chair,chair,parse_error,gpt-4.1
scene0015_00,What is the distance between the chair (object 19) and the chair (object 22)?,19,22,19.0,22.0,True,medium,chair,chair,ok,gpt-4.1
scene0015_00,What is the distance between the chair (object 27) and the table (object 34)?,27,34,27.0,34.0,True,medium,chair,table,ok,gpt-4.1
scene0015_00,What is the distance between the chair (object 17) and the chair (object 18)?,17,18,17.0,18.0,True,long,chair,chair,ok,gpt-4.1
scene0015_00,What is the distance between the chair (object 23) and the chair (object 27)?,23,27,23.0,27.0,True,long,chair,chair,ok,gpt-4.1
scene0019_00,What is the distance between the chair (object 13) and the chair (object 15)?,13,15,13.0,15.0,True,short,chair,chair,ok,gpt-4.1
scene0019_00,What is the distance between the chair (object 15) and the chair (object 16)?,15,16,15.0,16.0,True,short,chair,chair,ok,gpt-4.1
scene0019_00,What is the distance between the chair (object 1) and the chair (object 15)?,1,15,1.0,15.0,True,short,chair,chair,ok,gpt-4.1
scene0019_00,What is the distance between the chair (object 12) and the chair (object 14)?,12,14,12.0,14.0,True,short,chair,chair,ok,gpt-4.1
scene0019_00,What is the distance between the chair (object 14) and the chair (object 16)?,14,16,14.0,16.0,True,short,chair,chair,ok,gpt-4.1
scene0019_00,What is the distance between the chair (object 0) and the chair (object 15)?,0,15,,,False,medium,chair,chair,parse_error,gpt-4.1
scene0019_00,What is the distance between the chair (object 15) and the chair (object 23)?,15,23,15.0,23.0,True,medium,chair,chair,ok,gpt-4.1
scene0019_00,What is the distance between the chair (object 0) and the chair (object 14)?,0,14,,,False,medium,chair,chair,parse_error,gpt-4.1
scene0019_00,What is the distance between the chair (object 13) and the chair (object 21)?,13,21,13.0,21.0,True,long,chair,chair,ok,gpt-4.1
scene0019_00,What is the distance between the chair (object 1) and the lamp (object 11)?,1,11,1.0,11.0,True,long,chair,lamp,ok,gpt-4.1
scene0030_00,What is the distance between the chair (object 7) and the chair (object 13)?,7,13,7.0,13.0,True,short,chair,chair,ok,gpt-4.1
scene0030_00,What is the distance between the bookshelf (object 17) and the door (object 53)?,17,53,17.0,53.0,True,short,bookshelf,door,ok,gpt-4.1
scene0030_00,What is the distance between the chair (object 3) and the table (object 50)?,3,50,3.0,50.0,True,short,chair,table,ok,gpt-4.1
scene0030_00,What is the distance between the chair (object 15) and the bookshelf (object 68)?,15,68,15.0,68.0,True,short,chair,bookshelf,ok,gpt-4.1
scene0030_00,What is the distance between the table (object 49) and the window (object 58)?,49,58,49.0,58.0,True,short,table,window,ok,gpt-4.1
scene0030_00,What is the distance between the chair (object 10) and the table (object 49)?,10,49,10.0,49.0,True,medium,chair,table,ok,gpt-4.1
scene0030_00,What is the distance between the chair (object 11) and the bookshelf (object 20)?,11,20,11.0,20.0,True,medium,chair,bookshelf,ok,gpt-4.1
scene0030_00,What is the distance between the chair (object 5) and the chair (object 9)?,5,9,5.0,9.0,True,medium,chair,chair,ok,gpt-4.1
scene0030_00,What is the distance between the window (object 26) and the bookshelf (object 68)?,26,68,26.0,68.0,True,long,window,bookshelf,ok,gpt-4.1
scene0030_00,What is the distance between the chair (object 9) and the chair (object 11)?,9,11,9.0,11.0,True,long,chair,chair,ok,gpt-4.1
scene0045_00,What is the distance between the chair (object 1) and the table (object 7)?,1,7,1.0,7.0,True,short,chair,table,ok,gpt-4.1
scene0045_00,What is the distance between the chair (object 2) and the table (object 6)?,2,6,2.0,6.0,True,short,chair,table,ok,gpt-4.1
scene0045_00,What is the distance between the table (object 4) and the table (object 6)?,4,6,4.0,6.0,True,medium,table,table,ok,gpt-4.1
scene0045_00,What is the distance between the chair (object 2) and the table (object 4)?,2,4,2.0,4.0,True,medium,chair,table,ok,gpt-4.1
scene0045_00,What is the distance between the table (object 6) and the table (object 7)?,6,7,6.0,7.0,True,long,table,table,ok,gpt-4.1
scene0045_00,What is the distance between the chair (object 2) and the table (object 7)?,2,7,2.0,7.0,True,long,chair,table,ok,gpt-4.1
scene0050_00,What is the distance between the desk (object 5) and the lamp (object 7)?,5,7,5.0,7.0,True,short,desk,lamp,ok,gpt-4.1
scene0050_00,What is the distance between the desk (object 5) and the door (object 9)?,5,9,5.0,9.0,True,short,desk,door,ok,gpt-4.1
scene0050_00,What is the distance between the door (object 9) and the door (object 10)?,9,10,9.0,10.0,True,short,door,door,ok,gpt-4.1
